Baraka
Cassie Cage
Cetrion
D’vorah
Erron Black
Frost
Fujin
Geras
Jacqui Briggs
Jade
Jax Briggs
Johnny Cage
Joker
Kabal
Kano
Kitana
Kollector
Kotal Kahn
Liu Kang
Nightwolf
Noob Saibot
Raiden
Robocop
Scorpion
Shang Tsung
Shao Kahn
Sheeva
Sindel
Skarlet
Sonya Blade
Spawn
Sub-Zero
Terminator T-800
